	LOF	Known
1	1.05	1
2	1.06	1
3	2.38	1
4	1.45	1
5	1.16	1
6	0.98	1
7	1.35	1
8	1.01	1
9	1.97	1
10	1.04	1
11	1.42	1
12	2.58	1
13	1.81	1
14	1.35	1
15	1.12	1
16	1.48	1
17	2.63	1
18	1.5	1
19	1.05	1
20	1.3	1
21	1.69	1
22	1.34	1
23	1.23	1
24	1.6	1
25	4.5	1
26	1.45	1
27	1.71	1
28	1.07	1
29	1.15	1
30	1.1	1
31	2.59	1
32	1.81	1
33	1.03	1
34	1.31	1
35	1.06	1
36	1.08	1
37	1.09	1
38	3.87	1
39	1.22	1
40	3.3	1
41	2.93	1
42	2.04	1
43	1.48	1
44	1.28	1
45	1.37	1
46	1.13	1
47	1.25	1
48	1.26	1
49	1.98	1
50	2.85	1
51	1.56	1
52	2.28	1
53	2.61	1
54	4.15	1
55	2.09	1
56	3.85	1
57	6.78	1
58	6.1	1
59	4.22	1
60	4.86	0
61	5.07	0
62	5.92	0
63	5.78	0
64	7.12	0
65	8.17	0
66	7.86	0
67	11.42	0
68	7.14	0
69	7.4	0
70	8.97	0
71	10.83	0
72	6.91	0
73	6.6	0
74	7.3	0
75	8.61	0
76	9.42	0
77	8.12	0
78	8.2	0
79	6.34	0
80	6	0
81	10.34	0
82	10	0
83	13.38	0
84	11.35	0
85	9.77	0
86	11.55	0
